2025_03_29__14:06:45.917920: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:06:55.392453: Iter 60, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.872383587491566, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.503960: Iter 61, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.982379194257176, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.617738: Iter 62, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.968569516343894, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.726685: Iter 63, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.789865353381883, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.838251: Iter 64, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.178731571103754, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:55.951778: Iter 65, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.963452110767758, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.062255: Iter 66, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.8097862615943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.173535: Iter 67, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.05126954600189, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.285354: Iter 68, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.987864904652822, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
2025_03_29__14:06:56.397096: Iter 69, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.94344120550726, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5, 'throttle': 0.0, 'brake': 0.0}
