2025_03_29__15:59:23.855094: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__15:59:34.382938: Iter 59, FPS: 9.5, STATE: {'status': 'as_driving', 'speed': 5.1164474825782236e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.522013235410968, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.491777: Iter 60, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -0.0016884193755686283, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.218594980471797, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.601341: Iter 61, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -0.0002954845258500427, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.188181971526149, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.714277: Iter 62, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': -0.00018360913963988423, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.127000602764884, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.826596: Iter 63, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': -8.194187830667943e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.855804840146783, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:34.939828: Iter 64, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 1.372239779584561e-07, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.904328922535406, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.056517: Iter 65, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': -4.817457011085935e-06, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.832084633623504, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.174499: Iter 66, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': 7.016510789981112e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.570228277660174, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.290608: Iter 67, FPS: 8.5, STATE: {'status': 'as_driving', 'speed': 5.2744893764611334e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.473974822360459, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.406722: Iter 68, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': 9.585992665961385e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.616249306682553, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.523608: Iter 69, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': 0.00011906403233297169, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.61313520861826, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.631099: Iter 70, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': -0.0007863891078159213, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.55554377004104, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.737199: Iter 71, FPS: 9.3, STATE: {'status': 'as_driving', 'speed': -0.0001813752023736015, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.304093593196127, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
2025_03_29__15:59:35.841123: Iter 72, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': -7.665421435376629e-05, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.425126906404982, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.04996647834777832}
