2025_03_29__14:19:37.687632: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2025_03_29__14:19:56.929169: Iter 65, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 5.295846462249756, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.86364625752584, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.38343982773814583, 'throttle': 0.0, 'brake': 0.029584646224975586}
2025_03_29__14:19:57.035480: Iter 66, FPS: 8.8, STATE: {'status': 'as_driving', 'speed': 5.044313430786133, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.809064656032428, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.22277242331982483, 'throttle': 0.0, 'brake': 0.004431343078613282}
2025_03_29__14:19:57.145298: Iter 67, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 4.92289924621582, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.408171550979667, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.05262340821662176, 'throttle': 0.0, 'brake': 0.004431343078613282}
2025_03_29__14:19:57.281828: Iter 68, FPS: 9.1, STATE: {'status': 'as_driving', 'speed': 5.637292861938477, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.106767700892373, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.040262654613348936, 'throttle': 0.0, 'brake': 0.06372928619384766}
2025_03_29__14:19:57.411518: Iter 69, FPS: 7.3, STATE: {'status': 'as_driving', 'speed': 6.591376304626465, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.32472150088278, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.09345373676185426, 'throttle': 0.0, 'brake': 0.1591376304626465}
2025_03_29__14:19:57.518044: Iter 70, FPS: 7.7, STATE: {'status': 'as_driving', 'speed': 7.396801948547363, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.711393429059955, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.09277257074739248, 'throttle': 0.0, 'brake': 0.23968019485473635}
2025_03_29__14:19:57.624459: Iter 71, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.786637783050537, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.388481253497481, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.04743572526962342, 'throttle': 0.0, 'brake': 0.27866377830505373}
2025_03_29__14:19:57.737226: Iter 72, FPS: 9.4, STATE: {'status': 'as_driving', 'speed': 7.3987579345703125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.398010741725802, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.28725758962868086, 'throttle': 0.0, 'brake': 0.23987579345703125}
2025_03_29__14:19:57.848406: Iter 73, FPS: 8.9, STATE: {'status': 'as_driving', 'speed': 6.889512538909912, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.868462784334787, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.2575395655426994, 'throttle': 0.0, 'brake': 0.1889512538909912}
2025_03_29__14:19:57.959421: Iter 74, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 6.396812915802002, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.995054579767956, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.18410200324407772, 'throttle': 0.0, 'brake': 0.1396812915802002}
2025_03_29__14:19:58.074390: Iter 75, FPS: 9.0, STATE: {'status': 'as_driving', 'speed': 5.920522689819336, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.008346184079965, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.10817731666457958, 'throttle': 0.0, 'brake': 0.0920522689819336}
